name,phone_type,phone_number,website
Bule Electrical Trading Company,Mobile,+251 903 53 77 53,https://buleelectricalmaterials.com/
MTS TRADING PLC,Phone,+251 11 470 1842,http://www.mtstradingplc.com
MTS TRADING PLC,Mobile,+251 93 029 4860,http://www.mtstradingplc.com
MTS TRADING PLC,Mobile 2,+251 93 029 48 61/62,http://www.mtstradingplc.com
MTS TRADING PLC,Mobile 3,+251 93 029 48 63,http://www.mtstradingplc.com
Eyob Seleshi Aircondition Refrigeration and Electrical ...,Phone 3,+251 111 230640,
Eyob Seleshi Aircondition Refrigeration and Electrical ...,Mobile,+251  933 205236,
Eyob Seleshi Aircondition Refrigeration and Electrical ...,Mobile 2,+251 911 003749,
Riley Heat And Air,Phone,301-219-3000,
Million Demissie Electromechanical Engineering,Mobile,+251 967 32 72 00,
Phileo PM Air Condition & Refrigeration Trading LLC,Mobile,+251910820928,
MS Specialized System Engineering PLC,Phone,+251118227247,
MS Specialized System Engineering PLC,Mobile,+251929085577,
MS Specialized System Engineering PLC,Mobile 2,+251911172103,
D.M.A Security and Fire System Trading,Mobile,+251 911 41 56 94,
D.M.A Security and Fire System Trading,Mobile 2,+251 913 97 49 96,
SOLFET Security Technology PLC,Phone,+251 116 39 29 07,https://solfet.com/
SOLFET Security Technology PLC,Phone 2,+251 966 32 82 99,https://solfet.com/
Adulis Household & Office Furniture Works PLC,Phone,+251 111 11 10 00,http://www.adulisplc.com
Adulis Household & Office Furniture Works PLC,Phone 2,+251 118 23 13 29,http://www.adulisplc.com
Adulis Household & Office Furniture Works PLC,Mobile,+251 911 21 08 71,http://www.adulisplc.com
Mal Stone Trading & Industry,Phone,+251 116 39 29 79,
Mal Stone Trading & Industry,Mobile,+251 911 25 17 13,
Mal Stone Trading & Industry,Mobile 2,+251 911 25 17 14,
TDT PLC,Phone,+251 11 5546750,
TDT PLC,Phone 2,+251 11 5546775,
TDT PLC,Mobile,+251 91 1225357,
TDT PLC,Mobile 2,+251930 362602,
KAT PLC (KAT GYPSUM MANUFACTURING PLC),Phone,+251 11 893 17 41,
KAT PLC (KAT GYPSUM MANUFACTURING PLC),Mobile,+251 966 68 67 09,
Abulkhase PLC.,Phone,+251 11 2756471,
Abulkhase PLC.,Phone 2,+251 11 6546768,
Abulkhase PLC.,Phone 3,+251 11 6612048,
BUILDING MATERIALS SUPPLY  ENTERPRISE,Phone,+251 116 624510 |  +251 116 610138,
FEVICOL,Phone,+251 114 67 21 75,
FEVICOL,Mobile,+251 913 19 45 00,
KOREMTO GENERAL TRADING PLC,Phone,+251 111 56 86 28/91,
KOREMTO GENERAL TRADING PLC,Mobile,+251 911 22 19 07/911 20 49 87,
EDEL MARBEL  & GRANITE IMPORTER,Mobile,"+251 911 71 81 02, +251 911 22 00 27",
INTECPOWER PLC,Phone,+251 11 6478090,
INTECPOWER PLC,Mobile,+251 91 1606353,
ORYX INTERNATIONAL PLC,Phone,+251 11 6461732/6461730,
ORYX INTERNATIONAL PLC,Mobile,+251 91 1658101/1436709,
AIUA PLC,Phone,+251 112 750147 |  +251 112 770007,
INTERNATIONAL TRADING MANUFACTURING & SERVICES /ITMAS/ ...,Phone,+251 11 5529034/35,
INTERNATIONAL TRADING MANUFACTURING & SERVICES /ITMAS/ ...,Mobile,+251 91 1246921,
DENEB P.L.C,Phone,0911893281,
pommy international plc,Phone,+251-115-53-18-87,
pommy international plc,Mobile,+251-911-19-38-87,
EYA IMPORT & DISTRIBUTION ENTERPRISE,Phone,+251 11 1572572/1572125/1552990,
EYA IMPORT & DISTRIBUTION ENTERPRISE,Mobile,+251 11 1200506,
SAAD SHEMSU HASSEN,Phone,+251 111 571911,
SAAD SHEMSU HASSEN,Mobile,+251 911 204909,
MIYOB INTERNATIONAL PLC,Phone,+251 11 5512462,
MIYOB INTERNATIONAL PLC,Mobile,+251 91 2081501,
INTERNATIONAL COMMISSION AGENCY PLC,Phone,+251 111 551145,
INTERNATIONAL COMMISSION AGENCY PLC,Mobile,+251  911 223838,
INTERNATIONAL COMMISSION AGENCY PLC,Phone,+251 11 1557055/111392,
INTERNATIONAL COMMISSION AGENCY PLC,Mobile,+251 91 1223838,
Nikotika Construction and Trading PLC,Phone,+251 116 592 199,http://www.nikotikaconstruction.com
Nikotika Construction and Trading PLC,Mobile,+251 933 656 565,http://www.nikotikaconstruction.com
Dejen G/Meskel Import and Export,Phone 2,+251 116 683286,
Dejen G/Meskel Import and Export,Phone 3,+251 116 660771,
Dejen G/Meskel Import and Export,Mobile,+251 911 385471,
CDS (Chernet Dana Sana) Limited Import & Export,Phone,+251 11 6290550,
CDS (Chernet Dana Sana) Limited Import & Export,Mobile,+251 91 1135348,
CDS (Chernet Dana Sana) Limited Import & Export,Mobile 2,+251 912 956692,
E.A.R PLC,Phone,1568989,
E.A.R PLC,Mobile,1205114,
QUID INTERNATIONAL TRADING,Phone,251-91-11669886,
ETHIOPIAN GRAIN TRADE ENTERPRISE,Phone,+251 114 653166 | +251 11 4652436 | +251 11 4665037,
ETHIOPIAN GRAIN TRADE ENTERPRISE,Mobile,+251 911 254406,
Abera Import Export Commission Agent,Mobile,+251 911 249079,
NEJAT COMPUTER SERVICE PLC,Phone,+251 11 5517797/5504665/5504688,
NEJAT COMPUTER SERVICE PLC,Mobile,+251 91 1200283,
ENOCK PLC,Phone,+251 11 1560487,
YEMAN JEWELRY AND AGRICULTURAL DEVELOPMENT IMPORT& EXPO...,Phone,+251 11 6182505,
YEMAN JEWELRY AND AGRICULTURAL DEVELOPMENT IMPORT& EXPO...,Phone 2,+251 11 6616698,
YEMAN JEWELRY AND AGRICULTURAL DEVELOPMENT IMPORT& EXPO...,Phone 3,+251 116182505,
YEMAN JEWELRY AND AGRICULTURAL DEVELOPMENT IMPORT& EXPO...,Mobile,+251 9 11206307,
KERO TRADING PLC,Phone,"+251 11 1564874/1572806,572607, 572806",
KERO TRADING PLC,Mobile,+251 91 1204145,
REFARM PLC,Phone,+251 116 181688,
REFARM PLC,Mobile,+251 913 926679/ +251 914 706171,
AHEMED KEJELA HUSSEN,Mobile,+251 11 1615606,
Olive Agriculture Solution P.L.C,Phone,+251 11 5522021,
Olive Agriculture Solution P.L.C,Mobile,+251 91 1523359,
TOWERS CONSULT P.L.C,Phone,+251 11 6185034/6629052,
TOWERS CONSULT P.L.C,Mobile,+251 91 1232683/1235056,
ETHIO-ITAL TRADING CO.LTD,Phone,+251 11 5517771/5517776,
ETHIO-ITAL TRADING CO.LTD,Mobile,+251 91 1212727,
ARROW GENERAL TREADING PLC,Phone,+251 115 504018,
ARROW GENERAL TREADING PLC,Mobile,+251 911 208785,
TECHNICAL TRADING CO.(ETH.) LTD.ECTRACO,Phone,+251 11 5517719/5510222/5534107,
TECHNICAL TRADING CO.(ETH.) LTD.ECTRACO,Mobile,+251 91 1212996/1408490,
AGRO-VET PLC,Phone,+251 115 54 47 49,
AGRO-VET PLC,Phone 2,+251 116 46 26 81,
AGRO-VET PLC,Mobile,+251 911 20 38 49,
Hawi Engineering PLC,Mobile,+251911246624,https://hawiengineering.com/
Hawi Engineering PLC,Mobile 2,+251911991994,https://hawiengineering.com/
Filimon Import and Export International (FIE internatio...,Mobile,+251 912 67 05 20,
Filimon Import and Export International (FIE internatio...,Mobile 2,+251 983 77 11 45,
Goggle Trading PLC,Phone,+251 111 561400,http://goggletradingplc.com
Goggle Trading PLC,Mobile,+251 911 304297,http://goggletradingplc.com
Alban Gate Trading PLC,Phone,+251 913 06 39 24,http://albangatetradingplc.com
Alban Gate Trading PLC,Phone 2,+251 118 72 15 73,http://albangatetradingplc.com
Alban Gate Trading PLC,Phone 3,+251 947 39 40 30,http://albangatetradingplc.com
Jimma-Ber Importer PLC,Phone,+251111263131,
Jimma-Ber Importer PLC,Mobile,+251930006108,
Jimma-Ber Importer PLC,Mobile 2,+251913982154,
Jimma-Ber Importer PLC,Mobile 3,+251912482131,
,Phone,+251 116 63 96 15,http://acme-et.com
,Mobile,+251 903 54 54 54,http://acme-et.com
,Mobile 2,+251 903 57 57 57,http://acme-et.com
,Mobile 3,+251 903 58 58 58,http://acme-et.com
Astra Lab Trading PLC,Phone,+251 966 11 50 61,http://www.astralabtrading.com/
Astra Lab Trading PLC,Phone 2,+251 941 29 86 88,http://www.astralabtrading.com/
Agrifarm Agricultural Inputs and Equipment Importer,Mobile,+251 911 54 24 68,http://alphavettrading.com
Agrifarm Agricultural Inputs and Equipment Importer,Mobile 2,+251 963 65 65 65,http://alphavettrading.com
Agrifarm Agricultural Inputs and Equipment Importer,Mobile 3,+251 911 05 44 35,http://alphavettrading.com
Eastchem Importer,Mobile,+251 911 23 77 84,
Periplus Business PLC,Phone,+251 111 56 52 56,http://www.periplusbusiness.com
Periplus Business PLC,Mobile,+251 911 21 06 68,http://www.periplusbusiness.com
Periplus Business PLC,Mobile 2,+251 911 78 90 90,http://www.periplusbusiness.com
Woinemit Trading PLC and General Construction,Mobile,+251 911 22 70 14,
Woinemit Trading PLC and General Construction,Mobile 2,+251  911 22 88 47,
Lanchihun Business PLC,Phone,+251 11662 7378,
Lanchihun Business PLC,Mobile,+251 911 203 176,
Morningstar Engineering & Trading Pvt.Ltd.Co,Mobile,+251 911 54 64 05,http://morningstarengineeringet.com/
Fasil Ayalew Import & Export,Phone,+251 118 10 67 99,
Fasil Ayalew Import & Export,Mobile,+251 911 20 33 00,
KFAM Trading PLC,Phone,+251114701343,http://www.kfamtradingplc.com
Farfa Trading PLC,Mobile,+251 944 60 00 15,
Farfa Trading PLC,Mobile 2,+251 944 60 00 16,
UPL Limited,Mobile,+251 934 50 69 55,
Lewis Retails (Bambis),Phone,+251 115 156261,http://www.lewisretails.com
Lewis Retails (Bambis),Mobile,+251 900 672047,http://www.lewisretails.com
EB Every Block Distributors PLC,Phone,+251 11 6631740,
EB Every Block Distributors PLC,Mobile,+251 911 255381,
EB Every Block Distributors PLC,Mobile 2,+251 911 255382,
EB Every Block Distributors PLC,Mobile 3,+251 911 255383,
Dil Trading PLC,Phone,"+251 11 276 2930,+251 11 276 3067",
Country Trading Plc,Phone,+251 111 557147,
MONET PLC,Phone,+251 116 639060,
MOLA MARU LIQUOR FACTORY,Phone,251-11-275 14 66,
IMPALA TRADE AND INDUSTRY P.L.C,Phone,+251 114 421269,
Solomon Gizaw Plc,Phone,+251 116 180281,
Bertukan Amanule (Import & Export),Mobile,+251 921 991551,
Assfa Trading,Phone,+251 111 558321,
HEN SEA LAND BUSINESS PLC,Phone,251-11-662 81 61,
Merb Alcolol Liquear and Soft Drinks Distrubter,Phone,+251 344 413495,
Asnake liquors industry,Phone,+251 11 645 48 01,
Asnake liquors industry,Mobile,+251 91 121 2903,
Monet PLC,Phone,+251 116 639060,
S.SARA ALUMINIUM WORKS,Phone,+251 11 4704374,http://www.ssaraaluminium.com
S.SARA ALUMINIUM WORKS,Phone 2,+251 114 704359,http://www.ssaraaluminium.com
S.SARA ALUMINIUM WORKS,Phone 3,+251 114 704369,http://www.ssaraaluminium.com
MAB Alumunium & Glass Works PLC,Phone,+251 11 8504962,
MAB Alumunium & Glass Works PLC,Phone 2,+251 11 1119031,
MAB Alumunium & Glass Works PLC,Mobile,+251 91 1518212,
MAB Alumunium & Glass Works PLC,Mobile 2,+251 91 1518232 / +251 91 1622594,
MAB Alumunium & Glass Works PLC,Mobile 3,+251 911465186 /+251 91 2363130,
Synergy Aluminum Technics PLC,Phone,+251 116 62 05 24,http://synergyalum.com/
Synergy Aluminum Technics PLC,Mobile,+251 911 13 14 54,http://synergyalum.com/
Yutaf Aluminum PLC,Phone,+251 118 59 21 49,
Yutaf Aluminum PLC,Phone 2,+251 118 59 21 50,
Yutaf Aluminum PLC,Mobile,+251 914 10 43 38,
Yutaf Aluminum PLC,Mobile 2,+251 943 84 57 75,
Yutaf Aluminum PLC,Mobile 3,+251 911 22 75 36,
Alloy Aluminum Trading PLC,Mobile,+251 947 00 00 77,
Alloy Aluminum Trading PLC,Mobile 2,+251 937 00 00 77,
Bridge Paper Product PLC (Cash Register Papers),Phone,+251 116 35 20 21,https://bridgetasplc.com/
Bridge Paper Product PLC (Cash Register Papers),Mobile,+251 911 30 02 80,https://bridgetasplc.com/
Bridge Paper Product PLC (Cash Register Papers),Mobile 2,+251 933 92 06 20,https://bridgetasplc.com/
Girum Shewangizaw Importer,Mobile,+251 910 69 13 70,
Girum Shewangizaw Importer,Mobile 2,+251 911 92 83 80,
Girum Shewangizaw Importer,Mobile 3,+251 911 25 99 75,
Yonatan Aluminum and Glass work,Phone,+251 919 19 51 59,
SALIH MOHAMMED ALEMU,Phone,+251 11 6550720,
SALIH MOHAMMED ALEMU,Mobile,+251 91 1222340,
Ruth Aluminium,Mobile,+251 913 23 53 58,
Zwoze Trading,Mobile,+251936011088,
SOLOMON GETAHUN BEKELE,Phone,+251 11 6182574,
SOLOMON GETAHUN BEKELE,Mobile,+251 91 1736688,
Aluminum Sales Sanoy Trading PLC,Phone,+251 115 07 07 33,
Aluminum Sales Sanoy Trading PLC,Phone 2,+251 115 07 07 45,
Aluminum Sales Sanoy Trading PLC,Mobile,+251 9 11 95 36 73,
Girma Kassa Aluminium Import and Distribution,Phone,+251 912 015506,
Girma Kassa Aluminium Import and Distribution,Phone 2,+251 966 698499,
MULUSEW SIMACHEW BELAY,Phone,+251 113 214332,
MULUSEW SIMACHEW BELAY,Mobile,+251 911 231357,
ENGOY GENERAL TRADING PLC,Phone,+251 116 557384,
ENGOY GENERAL TRADING PLC,Mobile,+251 911 249195,
Import Export,Mobile,+251 9 11474566,
SAB PLC,Phone,+251 11 6635050,
SAB PLC,Mobile,+251 91 1201869,
Nova Productions,Mobile,+251 922 09 11 48,
GETFAM PLC,Phone,251 11 6181054,
GETFAM PLC,Mobile,251 911 52 91 43,
SEBETA AGRO-INDUSTRY PLC,Phone,+251 11 5519032/5523127/5537258,
SEBETA AGRO-INDUSTRY PLC,Mobile,+251 91 1219350,
PUREMIX TRADING,Phone,+251911694880,
YEKABDI AGRO PROCESSING P.L.C,Phone,+251 11 6455985,
YEKABDI AGRO PROCESSING P.L.C,Mobile,+251 91 1224754,
WOUWBEL INTERNATIONAL TRADING PLC,Phone,+251 11 5541087,
WOUWBEL INTERNATIONAL TRADING PLC,Mobile,+251 91 1243830,
MUZIEN & HIS CHILDREN PLC,Phone,+251 11 2752030,
MUZIEN & HIS CHILDREN PLC,Mobile,+251 91 1205422,
EYOB TRADING PLC,Phone,2761126,
EYOB TRADING PLC,Mobile,1205590/1239401,
TARIKUA TESFAYE AREGAWI,Mobile,+251 91 1660623,
SHIKUR BEREKA IBRAHIM,Phone,+251 11 3204630,
SHIKUR BEREKA IBRAHIM,Mobile,+251 91 1204630,
ZEMZEM SALEH MUSTEFA,Mobile,+251 91 1478505,
SEIFE SIMA MUZEIN,Phone,+251 11 2761338,
SEIFE SIMA MUZEIN,Mobile,+251 91 1200287,
SABIR JEMAL HUSSIEN,Phone,+251 11 2792951/2776540,
SABIR JEMAL HUSSIEN,Mobile,+251 91 1229605,
ABDULKERIM SHIKUR OUMER,Phone,+251 11 2752409/2763587,
Abdusamed Tekele Import & Export,Phone,+251 111 558455 | +251 111 770161,
SABA ADDIS,Phone,+251 11 5539680,
TADESSU BEKELE JIFFAR,Phone,+251 11 5530650,
TADESSU BEKELE JIFFAR,Mobile,+251 91 1244935,
ETAGEGNHU ESHETA H/GIORGIS,Phone,+251 11 5517736,
ETAGEGNHU ESHETA H/GIORGIS,Mobile,+251 91 1239058,
BELAY TESEMA NIDA,Phone,+251 11 2793408/2762659,
BELAY TESEMA NIDA,Mobile,+251 91 1212883,
NURIA MEHAMED ASEN,Phone,+251 11 5510980,
NURIA MEHAMED ASEN,Mobile,+251 91 1664640,
AZEB GENERAL IMPORTER,Mobile,+251 11 1227930,
AMINA ABDI AHMED,Phone,+251 111 550642,
AMINA ABDI AHMED,Mobile,+251 911 648340,
KIFLU G/MEDHIN NIKA,Phone,+251 11 6533623,
KIFLU G/MEDHIN NIKA,Mobile,+251 91 1205703,
IBRAHIM SHAFI OUSMAN,Phone,2779541,
IBRAHIM SHAFI OUSMAN,Mobile,1249246,
SEID WODAJO RETA,Phone,+251 11 1555431/2139493,
TESFAYE TIBEBU FELEKE,Phone,+251 11 4660524,
SOLOMON MEBRATU,Phone,2753783,
SOLOMON MEBRATU,Mobile,1243921,
KAMUR MODERN RUGS | ዘመናዊ ምንጣፎች,Phone,+251 115 581582,
KAMUR MODERN RUGS | ዘመናዊ ምንጣፎች,Phone 2,+251 11 5583948,
Commercial Ventures & Crafts,Mobile,+251911680294,
MODERN CENTER FOR BUSSINESS SERVICE PLC,Phone,+251 11 6633860/6633868/6518093,
MODERN CENTER FOR BUSSINESS SERVICE PLC,Mobile,+251 91 1229220,
"EKWAN IMPORT,EXPORT AND FOREIGN TRADE AUXILIRY",Phone,+251 11 5517223,
"EKWAN IMPORT,EXPORT AND FOREIGN TRADE AUXILIRY",Mobile,+251 91 911948199,
Halkayan Industry and Trading PLC,Phone,+251 118 720811,https://halkayanindustry.tradeindia.com/
Halkayan Industry and Trading PLC,Mobile,+251911248831,https://halkayanindustry.tradeindia.com/
Halkayan Industry and Trading PLC,Mobile 2,+910911248831,https://halkayanindustry.tradeindia.com/
Halkayan Industry and Trading PLC,Mobile 3,+910930470965,https://halkayanindustry.tradeindia.com/
Greenmiles Business PLC,Phone,+251 11 662 22 19,
Greenmiles Business PLC,Mobile,+251930011985,
HULE TRADING PLC,Phone,+251 115 549006,
HULE TRADING PLC,Mobile,+251 911 211563,
YESU PLC,Phone,+251 11 4342877/78,
YESU PLC,Mobile,+251 91 1253202,
Bakal Abdulkadir Osman,Phone,+251 25 7755019,
Bakal Abdulkadir Osman,Mobile,+251 915 744677 | +251 910 370077,
ASMEN PLC,Phone,+251 11 5531994/5517733,
ASMEN PLC,Mobile,+251 91 1235936,
KANMAX ENGINEERING AND TRADING  PLC,Phone,+251911217003,http://kanmaxgroup.com
KANMAX ENGINEERING AND TRADING  PLC,Mobile,+251904000000,http://kanmaxgroup.com
RIES ENGINEERING S.Co,Phone,+251 11 4421133,http://Riesethiopia.com
RIES ENGINEERING S.Co,Phone 2,+251 114 709778,http://Riesethiopia.com
RIES ENGINEERING S.Co,Mobile,+251 914 515344,http://Riesethiopia.com
RIES ENGINEERING S.Co,Mobile 2,+251 911 789123,http://Riesethiopia.com
Gediondaba Trading Private Limited Company,Mobile,+251 911 426 440,
Al-Akl Trading PLC (Ambassador Bottled Water),Phone,+251 118 29 96 66,http://www.ambassadorsprings.com
Al-Akl Trading PLC (Ambassador Bottled Water),Mobile,+251 910 09 66 66,http://www.ambassadorsprings.com
Al-Akl Trading PLC (Ambassador Bottled Water),Mobile 2,+251 911 74 11 10,http://www.ambassadorsprings.com
MEBTOM PLC,Phone,+251 11 4432008,
MEBTOM PLC,Mobile,+251 91 1214786,
TEGEGN TESEMA DAEMO,Phone,+251 11 2750107,
TEGEGN TESEMA DAEMO,Mobile,+251 91 1102697,
ESTIFANOS HAILU BEYENE,Phone,+251 11 5531089,
ESTIFANOS HAILU BEYENE,Mobile,+251 91 1224768,
NUREDIN MOHAMMED SOFAM,Phone,+251 11 5503925/5537650/5504086,
NUREDIN MOHAMMED SOFAM,Mobile,+251 91 1204494,
SEMIRA KEMAL SULEMAN,Phone,+251 11 4391766,
SEMIRA KEMAL SULEMAN,Mobile,+251 91 1563886,
MEFTUH SALAH SOFIAN,Phone,+251 11 2779848/5504386,
MEFTUH SALAH SOFIAN,Mobile,+251 91 1213013,
ROMSADEIS PLC,Phone,+251 112 139148,
S.J.V PLC,Phone,+251 11 1570820,
S.J.V PLC,Mobile,+251 91 1215372/1207863,
EZADCO INTERNATIONAL,Phone,+251 11 4655690,
EZADCO INTERNATIONAL,Mobile,+251 91 1201029,
BEDRU NURU,Phone,2707328,
BEDRU NURU,Mobile,1222279,
Y.I.A PLC,Phone,+251 11 6540332,
Y.I.A PLC,Mobile,+251 91 1220296,
FANTAYE TEKLE SORETA,Mobile,+251 91 1205641,
TIGIST GEBRU G/EGZIABHER,Phone,+251 11 5510861/6632412,
TIGIST GEBRU G/EGZIABHER,Mobile,+251 91 1632412,
RAB TRADING ENTERPRISE,Phone,+251 11 2774048,
RAB TRADING ENTERPRISE,Mobile,+251 91 1205430,
ENDRES ABDULEFATEH,Mobile,+251 91 1614890,
AMBASEL TRADING HOUSE PLC,Phone,+251 114 66 61 45,
AMBASEL TRADING HOUSE PLC,Phone 2,+251 114 66 62 31,
AMBASEL TRADING HOUSE PLC,Phone 3,+251 114 66 63 74,
Beyo PLC,Phone,"251-11-618-5562, +251-11-663-0160",
BETAHON  Security & Safety System Import Application  a...,Phone,+251 118 931454,
BETAHON  Security & Safety System Import Application  a...,Phone 2,+251 911 492340,
BETAHON  Security & Safety System Import Application  a...,Phone 3,+251 929 906361,
BETAHON  Security & Safety System Import Application  a...,Mobile,+251 91 1231350,
BETAHON  Security & Safety System Import Application  a...,Mobile 2,+251 91 1735841,
BETAHON  Security & Safety System Import Application  a...,Mobile 3,+251 91 2363787,
HEK TRADING PLC,Mobile,+251 911 225566,http://www.hektrading.com
SELAMAWIT KIFLEMARIAM HAILU,Phone,+251 11 3717657,
SELAMAWIT KIFLEMARIAM HAILU,Mobile,+251 11 1699336,
ISHRAQ INTERNATIONAL TRADING,Phone,+251 11 1568797,
ISHRAQ INTERNATIONAL TRADING,Mobile,+251 91 1211867,
AMEHASELASSIE TIBEB G/AMELAK,Phone,+251 11 5514078,
AMEHASELASSIE TIBEB G/AMELAK,Mobile,+251 91 1200784,
COSKAL ETHIOPIA PLC,Phone,6463601/6463602/03,
IMPLALA TRADE & INDUSTRY PLC,Phone,+251 11 4421269,
IMPLALA TRADE & INDUSTRY PLC,Mobile,+251 91 1252598,
ASFA P.L.C.,Phone,+251 11 5511859/93,
ASFA P.L.C.,Mobile,+251 91 1210717,
MAL INTERNATIONAL PLC,Phone,+251 11 159685,
MAL INTERNATIONAL PLC,Mobile,+251 91 1204908,
TAMIRAT BEYENE GENERAL TRADING PLC,Phone,+251 11 5156182/5513462,
TAMIRAT BEYENE GENERAL TRADING PLC,Mobile,+251 91 1210858,
Fame Impex Trading PLC,Phone,+251 11 6639600,
Fame Impex Trading PLC,Phone 2,+251 11 6639636,
Fame Impex Trading PLC,Mobile,+251 91 1214900,
ETHIOPIAN TOURIST TRADING ENTERPRISE,Phone,+251 11 6180641/6183214,
ETHIOPIAN TOURIST TRADING ENTERPRISE,Mobile,+251 91 1200727,
Sunrise General Trading,Phone,"+251 112 778954, +251 116 532951, 	+971 4 2207822",
Sunrise General Trading,Mobile,+251 911 200741,
Amanuel Bicycle,Phone,+251 462209941,
Amanuel Bicycle,Mobile,+251 916 824168,
Rosseto Gustavo Mecanical Workshop Spare Part,Phone,+251 114 421512,
Ahmed Nuredin Abella Import&Export,Phone,"+251-11-1566536, +251 111 566467",
Omega Auto Parts Import Distribution,Phone,+251 114 663060,
ABDULAZIZ FARIS SULIMAN,Phone,+251 112 754785,
ABDULAZIZ FARIS SULIMAN,Mobile,+251 911 467070,
Zerihun Desta Enterprises and Education,Phone,0115 525210,
Zerihun Desta Enterprises and Education,Mobile,0911 200002,
Grand Central Auto Spare Part Trade,Phone,+251 115 531089,
Azeb Tadesse Auto Motor Cycle Spare Part,Phone,+251 115 156545,
THE OMARS PLC,Phone,+251 11 2751292/2752542,
THE OMARS PLC,Mobile,+251 91 1654969,
Eznab Import and Export,Phone,+251 111 115771,
Eznab Import and Export,Mobile,+251 911 637595,
BEN TRADING ENTERPRISE,Phone,+251 11 2761203/2621756,
BEN TRADING ENTERPRISE,Mobile,+251 91 1200132,
Alem Haile Auto Spare Part,Phone,+251 115 516471,
FOREVER PLC,Phone,+251 111 560600 | +251 11 1560137,
FOREVER PLC,Mobile,+251 911 200138,
Mohammed Nurhussien Nut Auto Spare Parts,Phone,+251 114 165385,
AMEL Business PLC.,Phone,+251 11 6611300,http://www.sunbeltcolors.com
AMEL Business PLC.,Mobile,+251 91 1207160,http://www.sunbeltcolors.com
